,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Land_Slope,Neighborhood,Condition_1,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Roof_Style,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Exposure,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Screen_Porch,Pool_Area,Mo_Sold,Sale_Type,Sale_Condition,SalePrice,exterior,basement_type,basement_area,age,remodeled_age,garage_age
14,20,RL,65.0,8450,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,Gable,None,0.0,TA,TA,CBlock,TA,No,281.0,1056.0,Ex,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,6,1,Fa,Attchd,Unf,1.0,304.0,TA,0,85,184,0,0,7,WD ,Normal,142000,VinylSd_VinylSd,BLQ_Unf,775.0,42,0,42.0
15,120,RH,26.0,5858,IR1,Lvl,FR2,Gtl,NAmes,Norm,TwnhsE,1Story,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,354.0,1405.0,Ex,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,1,Fa,Attchd,Fin,2.0,511.0,TA,203,68,0,0,0,6,WD ,Normal,184000,MetalSd_MetalSd,GLQ_BLQ,1051.0,11,0,11.0
16,120,RL,53.0,4043,Reg,Lvl,Inside,Gtl,NPkVill,Norm,TwnhsE,1Story,6,5,Gable,None,0.0,TA,TA,CBlock,Gd,No,709.0,1069.0,TA,1069,0,0,1069,0.0,0.0,2,0,2,1,TA,4,1,Fa,Attchd,RFn,2.0,440.0,TA,0,55,0,165,0,7,WD ,Normal,127500,Plywood_Plywood,ALQ_Unf,360.0,33,0,33.0
17,160,RL,24.0,2280,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Twnhs,2Story,6,6,Gable,None,0.0,TA,TA,CBlock,TA,No,341.0,855.0,TA,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,1,TA,Attchd,Unf,2.0,440.0,TA,173,0,0,0,0,6,WD ,Normal,149900,Plywood_Brk Cmn,ALQ_Unf,514.0,35,0,35.0
18,160,RL,24.0,2280,Reg,Lvl,Inside,Gtl,NPkVill,Norm,Twnhs,2Story,6,5,Gable,None,0.0,TA,TA,CBlock,Gd,No,544.0,855.0,Fa,855,601,0,1456,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,Unf,2.0,440.0,TA,26,0,0,0,0,7,WD ,Normal,146000,Plywood_Brk Cmn,ALQ_Unf,311.0,32,0,32.0
19,60,RL,102.0,12858,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,Gable,Stone,162.0,Ex,TA,PConc,Ex,No,1590.0,1590.0,Ex,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,1,Gd,Attchd,Fin,3.0,751.0,TA,144,133,0,0,0,1,New,Partial,376162,VinylSd_VinylSd,Unf_Unf,0.0,1,1,1.0
20,20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,Gable,Stone,200.0,Gd,TA,PConc,Ex,No,486.0,1704.0,Ex,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3.0,772.0,TA,0,50,0,0,0,5,WD ,Normal,306000,VinylSd_VinylSd,GLQ_Unf,1218.0,3,1,2.0
21,20,RL,83.0,10159,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,9,5,Hip,Stone,450.0,Ex,TA,PConc,Ex,Av,284.0,1930.0,Ex,1940,0,0,1940,1.0,0.0,2,1,3,1,Ex,8,1,Gd,Attchd,Fin,3.0,606.0,TA,168,95,0,0,0,4,New,Partial,395192,VinylSd_VinylSd,GLQ_Unf,1646.0,1,1,0.0
22,20,RL,95.0,12182,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,7,5,Gable,BrkFace,226.0,Gd,TA,PConc,Gd,Mn,340.0,1541.0,Ex,1541,0,0,1541,0.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,2.0,532.0,TA,0,70,0,0,0,5,New,Partial,220000,VinylSd_VinylSd,BLQ_Unf,1201.0,5,0,5.0
23,20,RL,90.0,11520,Reg,Lvl,Inside,Gtl,NridgHt,PosN,1Fam,1Story,9,5,Hip,BrkFace,615.0,Gd,TA,PConc,Ex,No,1588.0,1698.0,Ex,1698,0,0,1698,0.0,0.0,2,0,3,1,Ex,7,1,Gd,Attchd,Fin,3.0,730.0,TA,192,74,0,0,0,6,WD ,Normal,275000,VinylSd_VinylSd,GLQ_Unf,110.0,5,0,5.0
24,20,RL,79.0,14122,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,Hip,BrkFace,240.0,Gd,TA,PConc,Ex,No,1794.0,1822.0,Ex,1822,0,0,1822,0.0,0.0,2,0,3,1,Ex,8,1,Gd,Attchd,RFn,3.0,678.0,TA,0,119,0,0,0,2,WD ,Normal,259000,CemntBd_CmentBd,GLQ_Unf,28.0,5,1,5.0
25,20,RL,100.0,12919,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,9,5,Hip,Stone,760.0,Ex,TA,PConc,Ex,Gd,142.0,2330.0,Ex,2364,0,0,2364,1.0,0.0,2,1,2,1,Ex,11,2,Gd,Attchd,Fin,3.0,820.0,TA,0,67,0,0,0,3,New,Partial,611657,VinylSd_VinylSd,GLQ_Unf,2188.0,1,1,1.0
26,120,RL,44.0,6371,IR1,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,7,5,Gable,Stone,128.0,Gd,TA,PConc,Gd,Mn,625.0,1358.0,Ex,1358,0,0,1358,1.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,RFn,2.0,484.0,TA,192,35,0,0,0,6,New,Partial,224000,VinylSd_VinylSd,GLQ_Unf,733.0,1,1,0.0
27,20,RL,110.0,14300,Reg,HLS,Inside,Mod,NridgHt,Norm,1Fam,1Story,9,5,Hip,BrkFace,1095.0,Ex,TA,PConc,Ex,Gd,1473.0,2846.0,Ex,2696,0,0,2696,1.0,0.0,2,1,3,1,Ex,10,2,Gd,Attchd,Fin,3.0,958.0,TA,220,150,0,0,0,6,WD ,Normal,500000,VinylSd_VinylSd,GLQ_Unf,1373.0,7,1,7.0
28,60,RL,105.0,13650,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,Gable,BrkFace,232.0,Gd,TA,PConc,Gd,Gd,1093.0,1671.0,Ex,1687,563,0,2250,1.0,0.0,2,1,3,1,Gd,7,1,Ex,Attchd,Fin,3.0,756.0,TA,238,130,0,0,0,6,WD ,Normal,320000,VinylSd_VinylSd,GLQ_Unf,578.0,8,0,8.0
29,120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,Hip,BrkFace,412.0,Ex,TA,PConc,Ex,No,1296.0,1752.0,Ex,1752,0,0,1752,1.0,0.0,2,0,2,1,Ex,6,1,Gd,Attchd,RFn,2.0,576.0,TA,196,82,0,0,0,2,WD ,Normal,319900,MetalSd_MetalSd,GLQ_Unf,456.0,5,0,5.0
30,120,RL,41.0,7132,IR1,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,8,5,Gable,Stone,178.0,Gd,TA,PConc,Gd,Mn,1346.0,1370.0,Ex,1370,0,0,1370,0.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,RFn,2.0,484.0,TA,120,49,0,0,0,4,WD ,Normal,205000,VinylSd_VinylSd,GLQ_Unf,24.0,4,0,4.0
31,120,RL,43.0,3182,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,8,5,Gable,BrkFace,16.0,Gd,TA,PConc,Gd,No,1232.0,1256.0,Ex,1269,0,0,1269,0.0,0.0,2,0,2,1,Gd,6,1,TA,Attchd,Fin,2.0,430.0,TA,146,20,0,144,0,4,WD ,Normal,192000,VinylSd_VinylSd,GLQ_Unf,24.0,6,1,6.0
32,80,RL,67.0,13300,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,58.0,384.0,Ex,744,630,0,1374,1.0,0.0,2,1,3,1,Gd,7,1,Gd,BuiltIn,Fin,2.0,400.0,TA,100,0,0,0,0,6,WD ,Normal,184500,VinylSd_VinylSd,GLQ_Unf,326.0,6,0,6.0
33,60,RL,63.0,8577,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,847.0,847.0,Ex,847,886,0,1733,0.0,0.0,2,1,3,1,Gd,7,1,Gd,BuiltIn,Fin,2.0,433.0,TA,144,48,0,0,0,4,WD ,Normal,185088,VinylSd_VinylSd,Unf_Unf,0.0,6,0,6.0
34,60,RL,108.0,14774,IR1,Lvl,Corner,Gtl,NoRidge,Norm,1Fam,2Story,9,5,Gable,BrkFace,165.0,Gd,TA,PConc,Gd,No,1393.0,1393.0,Ex,1422,1177,0,2599,0.0,0.0,2,1,4,1,Gd,10,1,TA,BuiltIn,Fin,3.0,779.0,TA,668,30,0,0,0,5,WD ,Normal,333168,VinylSd_VinylSd,Unf_Unf,0.0,11,0,11.0
35,60,RL,60.0,17433,IR2,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,5,Hip,BrkFace,114.0,Gd,TA,PConc,Ex,No,1629.0,1629.0,Ex,1645,830,0,2475,0.0,0.0,2,1,4,1,Gd,7,1,TA,Attchd,Fin,3.0,962.0,TA,23,172,0,256,0,1,WD ,Normal,355000,VinylSd_VinylSd,Unf_Unf,0.0,12,0,12.0
36,20,RL,59.0,10593,IR1,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,1Story,7,5,Hip,BrkFace,338.0,Gd,TA,PConc,Gd,No,801.0,1720.0,Ex,1720,0,0,1720,1.0,0.0,2,0,3,1,Gd,7,1,TA,Attchd,Fin,2.0,527.0,TA,240,56,154,0,0,3,WD ,Normal,260400,VinylSd_VinylSd,GLQ_Unf,919.0,14,0,14.0
37,60,RL,98.0,12256,IR1,Lvl,Corner,Gtl,NoRidge,Norm,1Fam,2Story,8,5,Gable,BrkFace,362.0,Gd,TA,PConc,Ex,Av,431.0,1463.0,Ex,1500,1122,0,2622,1.0,0.0,2,1,3,1,Gd,9,2,TA,Attchd,RFn,2.0,712.0,TA,186,32,0,0,0,4,WD ,Normal,325000,HdBoard_HdBoard,GLQ_Unf,1032.0,16,1,16.0
38,60,RL,92.0,11764,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,7,Gable,BrkFace,348.0,Gd,TA,PConc,Gd,No,628.0,1152.0,Ex,1164,1106,0,2270,0.0,0.0,2,1,4,1,Gd,9,1,Gd,Attchd,Fin,3.0,671.0,TA,132,57,0,0,0,4,WD ,Normal,290000,VinylSd_VinylSd,GLQ_Unf,524.0,11,8,11.0
39,50,RL,56.0,14720,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,1.5Fin,8,5,Hip,BrkFace,579.0,Gd,TA,PConc,Gd,Av,1217.0,2033.0,Ex,2053,1185,0,3238,1.0,0.0,2,1,4,1,Gd,9,1,Ex,Attchd,Fin,3.0,666.0,TA,283,86,0,0,0,3,WD ,Normal,410000,VinylSd_VinylSd,GLQ_Unf,816.0,15,1,14.0
40,60,FV,100.0,12552,Reg,Lvl,Corner,Gtl,Somerst,Norm,1Fam,2Story,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,769.0,991.0,Ex,991,956,0,1947,0.0,0.0,2,1,3,1,Gd,8,1,Gd,Attchd,RFn,2.0,678.0,TA,0,136,0,0,0,5,WD ,Normal,254900,VinylSd_VinylSd,GLQ_Unf,222.0,6,1,6.0
41,20,FV,84.0,10440,Reg,Lvl,Corner,Gtl,Somerst,Norm,1Fam,1Story,6,5,Gable,None,0.0,Gd,TA,PConc,Ex,No,54.0,1468.0,Ex,1468,0,0,1468,1.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,Fin,2.0,528.0,TA,0,102,0,216,0,5,WD ,Normal,271500,VinylSd_VinylSd,GLQ_Unf,1414.0,5,0,5.0
42,120,RL,50.0,8012,Reg,Lvl,Inside,Gtl,SawyerW,Norm,TwnhsE,1Story,6,5,Gable,None,0.0,TA,TA,CBlock,Gd,No,261.0,923.0,TA,923,0,0,923,0.0,0.0,2,0,2,1,TA,5,1,TA,Attchd,RFn,1.0,264.0,TA,80,0,0,0,0,5,WD ,Normal,143000,Plywood_Plywood,BLQ_BLQ,662.0,30,0,30.0
43,60,RL,70.0,11218,Reg,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,2Story,6,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,1055.0,1055.0,Ex,1055,790,0,1845,0.0,0.0,2,1,3,1,Gd,8,1,TA,Attchd,RFn,2.0,462.0,TA,635,104,0,0,0,5,WD ,Normal,189000,Wd Sdng_Wd Sdng,Unf_Unf,0.0,18,0,18.0
44,120,RL,55.0,7892,Reg,Lvl,Inside,Gtl,SawyerW,Norm,TwnhsE,1Story,6,5,Gable,None,0.0,TA,TA,CBlock,Gd,No,918.0,918.0,TA,918,0,0,918,0.0,0.0,2,0,2,1,TA,5,1,TA,Attchd,Unf,1.0,264.0,TA,28,0,0,0,0,4,WD ,Normal,99500,Plywood_Plywood,Unf_Unf,0.0,31,0,31.0
45,60,RL,70.0,8400,Reg,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,2Story,6,6,Gable,BrkFace,130.0,TA,TA,CBlock,Gd,No,650.0,650.0,TA,888,676,0,1564,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,Unf,2.0,476.0,TA,0,50,0,204,0,4,WD ,Normal,171000,HdBoard_HdBoard,Unf_Unf,0.0,30,1,30.0
46,20,RL,65.0,8450,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,1Fam,1Story,5,8,Gable,None,0.0,TA,Gd,CBlock,TA,No,224.0,894.0,Ex,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,1,Gd,Detchd,Unf,1.0,336.0,TA,416,144,0,0,0,4,WD ,Normal,138500,MetalSd_MetalSd,GLQ_BLQ,670.0,45,44,37.0
47,20,RL,39.0,15410,IR1,Lvl,CulDSac,Gtl,Sawyer,RRNe,1Fam,1Story,6,6,Hip,BrkCmn,250.0,TA,Gd,CBlock,TA,Gd,223.0,1208.0,Ex,1494,0,0,1494,1.0,0.0,2,0,3,1,TA,7,2,Fa,Attchd,Fin,2.0,461.0,TA,296,0,186,0,0,4,WD ,Abnorml,169000,Plywood_Plywood,BLQ_GLQ,985.0,36,28,36.0
48,60,RL,107.0,10186,IR1,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,2Story,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,76.0,750.0,Ex,1061,862,0,1923,1.0,0.0,2,1,3,1,Gd,8,1,TA,Attchd,RFn,2.0,564.0,TA,240,39,0,0,0,6,WD ,Normal,190000,HdBoard_HdBoard,GLQ_Unf,674.0,18,0,18.0
49,60,RL,85.0,13143,IR1,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,2Story,8,5,Gable,BrkFace,504.0,Gd,TA,PConc,Gd,No,0.0,1231.0,Ex,1251,1098,0,2349,1.0,0.0,2,1,4,1,Gd,9,1,TA,Attchd,RFn,3.0,762.0,TA,32,130,0,0,0,6,WD ,Normal,362500,0,LwQ_GLQ,1231.0,17,0,17.0
50,60,RL,88.0,11134,Reg,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,2Story,8,5,Gable,BrkFace,180.0,Gd,TA,PConc,Gd,No,261.0,1390.0,Ex,1402,823,0,2225,1.0,0.0,2,1,4,1,Gd,7,1,TA,Attchd,RFn,3.0,713.0,TA,198,30,0,0,0,6,WD ,Normal,285000,HdBoard_HdBoard,GLQ_Unf,1129.0,18,1,18.0
51,120,FV,25.0,4835,IR1,Lvl,CulDSac,Gtl,Somerst,Norm,TwnhsE,1Story,7,5,Gable,None,0.0,Gd,TA,PConc,Ex,Av,190.0,1488.0,Ex,1488,0,0,1488,1.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,Fin,2.0,506.0,TA,168,50,0,0,0,3,WD ,Normal,260000,MetalSd_MetalSd,GLQ_Unf,1298.0,6,1,6.0
52,20,FV,57.0,12853,IR1,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,Gable,None,0.0,Gd,TA,PConc,Ex,No,610.0,1642.0,Ex,1418,0,0,1418,1.0,0.0,1,1,1,1,Gd,6,1,Gd,Attchd,RFn,3.0,852.0,TA,160,192,0,0,0,4,New,Partial,267916,CemntBd_CmentBd,GLQ_Unf,1032.0,0,0,0.0
53,60,FV,68.0,7379,IR1,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,491.0,975.0,Ex,975,873,0,1848,1.0,0.0,2,1,3,1,Gd,7,1,TA,Attchd,RFn,2.0,592.0,TA,280,184,0,0,0,4,WD ,Normal,254000,VinylSd_VinylSd,GLQ_Unf,484.0,10,0,10.0
54,120,RL,30.0,4420,IR1,Lvl,CulDSac,Gtl,Greens,Norm,TwnhsE,1Story,8,5,Gable,None,0.0,Gd,TA,CBlock,Gd,Gd,0.0,728.0,TA,788,0,0,788,1.0,0.0,1,0,1,1,Gd,3,1,TA,Detchd,Fin,2.0,484.0,TA,133,42,0,0,0,6,WD ,Normal,155000,Wd Sdng_Wd Sdng,GLQ_Unf,728.0,30,0,30.0
55,120,RL,40.0,3880,IR1,Lvl,Inside,Gtl,Greens,Norm,Twnhs,1Story,8,6,Gable,None,0.0,Gd,TA,CBlock,Gd,Gd,174.0,1226.0,TA,1226,0,0,1226,1.0,0.0,1,0,1,1,Gd,4,1,TA,Attchd,Fin,2.0,484.0,TA,223,78,0,0,0,1,WD ,Normal,206000,Wd Sdng_Plywood,GLQ_Unf,1052.0,32,0,32.0
56,20,FV,80.0,8000,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,659.0,1492.0,Ex,1492,0,0,1492,1.0,0.0,2,0,3,1,Gd,6,1,Gd,Attchd,RFn,2.0,596.0,TA,277,137,0,0,0,4,WD ,Normal,230000,VinylSd_VinylSd,GLQ_Unf,833.0,8,0,8.0
57,60,RL,80.0,10791,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,2Story,6,5,Gable,None,0.0,TA,TA,PConc,Gd,Mn,143.0,1280.0,Ex,1280,1215,0,2495,1.0,0.0,2,1,4,1,Gd,9,1,TA,Attchd,Unf,2.0,660.0,TA,224,32,0,0,0,3,WD ,Normal,243500,MetalSd_MetalSd,GLQ_Unf,1137.0,17,0,17.0
58,60,RL,80.0,10421,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,2Story,7,5,Gable,BrkFace,42.0,TA,TA,CBlock,Gd,No,586.0,980.0,TA,980,734,0,1714,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,Unf,2.0,496.0,TA,228,66,156,0,0,3,WD ,Normal,196500,HdBoard_HdBoard,GLQ_Unf,394.0,22,0,22.0
59,20,RL,78.0,9360,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,7,Hip,None,0.0,TA,TA,CBlock,TA,No,179.0,1161.0,TA,1381,0,0,1381,1.0,0.0,1,1,3,1,Gd,5,1,TA,Attchd,RFn,2.0,676.0,TA,0,0,0,0,0,3,WD ,Normal,197500,Plywood_Plywood,ALQ_Unf,982.0,38,34,38.0
60,50,RL,68.0,9724,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1.5Fin,5,7,Gable,BrkFace,265.0,Gd,TA,CBlock,TA,No,470.0,1140.0,Gd,1929,532,0,2461,0.0,0.0,2,0,3,1,TA,7,2,Gd,Detchd,Unf,2.0,400.0,TA,0,0,0,0,0,3,WD ,Normal,197600,MetalSd_MetalSd,LwQ_Unf,670.0,58,50,16.0
